Item ID,Item Name,SKU,Description,Rate,Account,Account Code,Tax Name,Tax Percentage,Tax Type,Purchase Tax Name,Purchase Tax Percentage,Purchase Tax Type,Product Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Vendor Number,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Sellable,Purchasable,Track Inventory
6642928000000166153,Jik Regular,,950ml,NGN 4500.00,Sales,,,,,,,,goods,2,,,Active,ml,Milli Litre,NGN 3000.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,4.00,NGN 4500.00,3.00,Inventory,true,true,true
6642928000000166184,Hypo whitener Disinfentant,,1l,NGN 4000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 2500.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,14.00,NGN 2500.00,10.00,Inventory,true,true,true
6642928000000166215,Household handgloves,,,NGN 1000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 800.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,5.00,NGN 800.00,4.00,Inventory,true,true,true
6642928000000166246,handgloves Heavyduty,,Sungloves,NGN 1300.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 700.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,12.00,NGN 700.00,7.00,Inventory,true,true,true
6642928000000166277,Red Hand Gloves,,Red safety,NGN 1600.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 800.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,13.00,NGN 800.00,10.00,Inventory,true,true,true
6642928000000166308,Big Pack Windolene,,Glass & Shiny Surfaces,NGN 5000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 4200.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,4.00,NGN 4200.00,3.00,Inventory,true,true,true
6642928000000166339,Windolene Diamond Shine,,Glass and shiny Surface,NGN 5000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 2500.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,3.00,NGN 2500.00,0.00,Inventory,true,true,true
6642928000000166370,Disposable facemask,,Imate 3play,NGN 50.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 30.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,9.00,NGN 30.00,40.00,Inventory,true,true,true
6642928000000166401,ITE german brush,,wooden handbrush,NGN 2000.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 1600.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,8.00,NGN 1600.00,5.00,Inventory,true,true,true
6642928000000166432,"Paint brush (big) 4""",,red,NGN 800.00,Sales,,,,,,,,goods,2,,,Active,Pcs,,NGN 400.00,Cost of Goods Sold,,,Inventory Asset,,fifo,,,,9.00,NGN 400.00,7.00,Inventory,true,true,true
