zoho_item_id,name,sku,description,price,stock_quantity
6642928000000203915,ULV ELECTRIC FOGGER,,,400000,1
6642928000000209077,Mop Bucket (pink),,,18000,1
6642928000000209236,Step Bin Black & Green cover,,,21000,2
6642928000000208031,Floor Scrape Mop Bucket (BIG),,,25000,1
6642928000000212016,Floor Scrape Mop Bucket  (SMALL),,,23000,1
6642928000000212131,Foam Cannon Sprayer Bottle,,Foam lance gun cannon for car pressure wash,35000,3
6642928000000213023,Rechargeable Cordless Pressure Washer,,,110000,1
6642928000000213079,Sanding Disc Backing Pad,,,11000,1
6642928000000213211,Innova Lemon Bottle Sprayer,,,8000,2
6642928000000213349,Rowenta Compact Power Cyclonic,,,60000,1
6642928000000214001,Comfortable Garden Wet & Dry Vacuum Cleaner,,,320000,1
6642928000000214118,Spray Gun INGCO 500W,,,50000,1
6642928000000214181,Triangular Twist Water Mop,,,23000,1
6642928000000214237,Ronix Cordless Blower,,,90000,0
6642928000000214385,ABRO Premium PVA Chamois Cloth,,,12000,6
6642928000000214487,Microfiber Towel (SMALL),,,1000,23
6642928000000214543,Hand Towel (MEDIUM) Cotton,,,1200,7
6642928000000214599,Cotton Towel Big,,,1500,1
6642928000000214655,Microfiber Towels Medium,,,3500,26
6642928000000214711,Long Face towel (Big),,cotton towel for general cleaning,1800,0
6642928000000214778,Member's Mark Microfiber Towels,,,3500,0
6642928000000206205,Short Towels,,,2000,18
6642928000000206246,Hose Reels,,,140000,0
6642928000000216001,Rug Towel,,,3500,9
6642928000000218077,Extraction Carpet Cleaner,,,45000,1
6642928000000225062,Short BB Safety Boot,,,16000,3
6642928000000225725,Earthcare Odor Removal Bags,,,33000,4
6642928000000225958,Astonish Mould & Mildew Blaster,,,6500,2
6642928000000216372,Air Wick Air Freshner,,,4500,7
6642928000000216912,Sniper flying insect killer,,,2500,0
6642928000000216968,Gluter,,,6000,0
6642928000000244001,Kness Pest Defense,,,40000,0
6642928000000244057,Rodenticide,,,35000,11
6642928000000244113,Rat Bait Station (SMALL BLACK),,,25000,1
6642928000000247066,"3M Half Facepiece, Medium",,,40000,4
6642928000000247122,"3M Full Facepiece, Medium",,,70000,2
6642928000000247178,Nostrils Nose Mask (Round),,,7000,0
6642928000000250042,"Delvap DDVP 1,OOO EC",,,13500,0
6642928000000250105,Dominator 440EC,,,15000,0
6642928000000250161,LIONSEAL DINETHOATE 40% EC,,,15000,0
6642928000000250217,Magic Force,,,16000,0
6642928000000250363,TAKE DOWN II SOFT BAIT,,,130000,2
6642928000000252077,TERMIDOR H.E,,,450000,1
6642928000000256001,SCRUBB Handwash,,handwash 500ML,2000,0
6642928000000258123,HEXACAL,,,5000,2
6642928000000258248,LARVIRON 120 ZC,,,6000,6
6642928000000256185,HYPO 500ML,,,2500,0
6642928000000268138,Industrial Stainless Parker,,,25000,0
6642928000000282089,PowerLife Vaccum Cleaner Machine,,,150000,0
6642928000000282188,Nilfisk Multi ii 22inox,,,220000,1
6642928000000297065,Nasco Action Dishwashing Liquid 500ML,,,1800,3
6642928000000306019,25CM HAND INDUSTRAIL BRUSH,,,8000,0
6642928000000306184,Square Toilet Brush,,,7000,1
6642928000000306240,Nasco Beauty Handwash,,,2000,0
6642928000000306303,NASCO Action Dishwashing Liquid 1000ML,,,2800,18
6642928000000306359,PowerTell Electric Blower,,,120000,0
6642928000000315001,Brytex Liquid Laundry Detergent,,,3000,12
6642928000000315057,Clean the Air,,,21000,3
6642928000000315144,REUSABLE OUTDOOR FLY TRAP,,,35000,12
6642928000000315216,Portable Cotton Mop Squeezee 38cm (Big),,Cotton Squeezee Sponge Mop for highly efficient liquid absorption and surface cleaning,30000,3
6642928000000315257,Light Clean 3 in 1 wet & dry Vacuum Machine,,,1700000,1
6642928000000315539,Nasco ACTION Glass Cleaner,,,2500,0
6642928000000331074,Big Industrial Wooden Brush,,,25000,0
6642928000000334001,Protective Clothing (Non - Medical),,,13000,4
6642928000000334129,Scraper Blades,,,1500,1
6642928000000334185,White Tissue Paper,,,500,0
6642928000000338025,Lemon Feather Duster,,,6000,3
6642928000000334241,Leaf Scoop Hand Rake,,,15000,2
6642928000000331182,Industrial Hard Iron Brush with Handle,,,30000,0
6642928000000340105,Steam Cleaner,,,80000,2
6642928000000340146,Grill Brush,,,10000,4
6642928000000340187,Mini Duster for AC,,,13000,0
6642928000000340228,smart trash can,,,35000,1
6642928000000340269,3 in 1 parker,,,30000,5
6642928000000340310,ULTRA HIGH VOLUME,,,17000,1
6642928000000341001,Janitorial Bags small,,,15000,4
6642928000000341042,EVEAGE 4000PSI MACHINE,,,800000,1
6642928000000347001,MAGIC SPONGE,,,1000,5
6642928000000420001,Screw to Bait Station,,,2000,0
6642928000000425086,Dining Set,,All padded dining sets ,8000,0
6642928000000425099,Rug carpet per square meter,,,200,0
6642928000000456001,DONTUS VITA QUALITY WET MOP,,,8000,0
6642928000000456012,TRANSPARENT UPHOLDSTERY FILTER,,,12000,2
6642928000000479001,38cm Industrial squeeze mop,,,30000,1
6642928000000479052,25 litters Dustbin,,,50000,2
6642928000000479093,Beauty Hand wash,,,2000,0
6642928000000479106,Odourless vanish,,,3000,1
6642928000000479450,METAL TOILET PLUNGER,,,3000,-1
6642928000000479511,SMALL HARD HAND BRUSH,,,3500,3
6642928000000494061,Swis Jardin Air freshener,,,3500,8
6642928000000494086,inspire Insignia air freshener,4,,4500,0
6642928000000504105,Harris Cockroach killing tablet(each tablet),,,1500,0
6642928000000504189,Power Kill Rat Killer,,,1000,10
6642928000000504230,Ikeda Jumbo,,,18000,4
6642928000000504395,Stainless Toilet plunger,,,3000,2
6642928000000504480,Plastic funnel plunger,,,3000,2
6642928000000504531,Gathered toilet plunger,,,3000,1
6642928000000511001,Home sweet home foot mat,,,16000,1
6642928000000535021,Face Mask,,,3500,5
6642928000000535062,Litter picker (gun handle blue),,Blue gun handle/Red picker,10500,1
6642928000000535073,Litter picker simple handle,,Simple handle and it has red picker,6500,2
6642928000000535114,Long packer,,,7000,6
6642928000000535155,Garden Hand packer,,,18000,1
6642928000000535196,Export Bag,,,7500,5
6642928000000543008,Cotton Mop With PVC Handle,,,6500,3
6642928000000543049,Novex Multipurpose cleaning liquid,,,6000,0
6642928000000543090,Sweeper  (Iron handle with foam},,,10000,3
6642928000000561001,Hand towel (white&ash),,,2500,11
6642928000000563001,vita mop stick,,,8000,2
6642928000000563042,heart white vinegar,,,1200,0
6642928000000563083,cobweb remover blue,,,7000,0
6642928000000563124,Detachable Long Packer,,Detachable long fancy packer,6500,3
6642928000000563284,small napsack,,,60000,2
6642928000000567001,Haris cockroach tablet (pack),,,30000,1
6642928000000567042,ZOECON GENRTOL IGR CONCENTRATE,,,25000,2
6642928000000568001,Chain Saw,,,350000,1
6642928000000568042,Ferrex flower cutter,,,50000,0
6642928000000568083,Crystal Humidifier,,,40000,1
6642928000000568124,Aroma Diffuser,,,45000,1
6642928000000570001,green tea tissue,,,8000,1
6642928000000570042,hand packer and brush,,,4500,4
6642928000000578032,fabuloso 1L,,,18000,4
6642928000000578073,Broom/mop holder big size,,,12500,0
6642928000000578114,Broom/mop holder small size,,,12000,0
6642928000000578239,Exol tile and Joint cleaner 1L,,,2500,2
6642928000000578280,Exol tile & joint cleaner 2L,,,4500,1
6642928000000578321,Exol tile & joint cleaner 4L,,,8500,1
6642928000000578362,Home clean 4000ml,,,10000,1
6642928000000578403,Allbrite carpet & upholstery cleaner 1L,,,2700,3
6642928000000578444,Allbrite carpet & upholstery cleaner 4L,,,8500,2
6642928000000578523,Odur vanish,,,3500,-3
6642928000000578571,INSPIRE Air freshener INSIGNIA,,,2500,2
6642928000000578612,Wind air freshener gel 50g,,,600,8
6642928000000578653,Hanging scented wardrobe dehumidifier,,,11000,4
6642928000000578995,Viva heavy duty garbage bag,,,1500,4
6642928000000605517,Cantata heavy duty refuse sack,,,1200,3
6642928000000621051,luxury floor capet,,,8000,3
6642928000000623131,Latex Examination Gloves,,,100,245
6642928000000626027,Fabuloso 6.2 l,,,50000,2
6642928000000633003,Jasmine tissue paper,,,1500,6
6642928000000645019,Welcome footmat patterned,,,20000,0
6642928000000645066,Welcome footmat,,,18000,1
6642928000000654019,The Pink stuff Oxi Powder,,The miracle oxi powder stain removal ,18000,1
6642928000000663225,Minhao hook,,,500,33
6642928000000663342,slug and snail killer 300g,,,25000,2
6642928000000663389,Slugs be gone,,,29500,2
6642928000000663436,slug and snail killer (Doff)  800g,,,35000,2
6642928000000663483,lion seal dimethoate 40%,,,15000,2
6642928000000663678,sniper bedbug killer small,,,5000,1
6642928000000663725,sniper bedbug killer big,,,8500,3
